company,role,level,trackName,totalMin,totalMax,baseMin,baseMax,equityMin,equityMax,equityType,equityVesting,joiningBonusMin,joiningBonusMax,variablePct,noticePeriodDays,bondPenaltyLpa,sourceGlassdoor,sourceAmbitionbox,sourceLevelsFyi,sourceDrhp,sourceOperatorNetwork,resumeSignals,notes,lastVerified
# === EXAMPLE ROWS — DELETE BEFORE USE ===
# company: lowercase, no suffixes ("tcs" not "TCS Ltd"). role: kebab-case canonical key from data/salaries.ts (software-engineer | sap-consultant | data-engineer | ...). level: entry|mid|senior|lead|executive. trackName: leave blank for single-track; populate for multi-track companies (e.g. "Ninja", "Digital", "Prime", "GenC", "GenC Next", "DSE", "Specialist L3"). All ₹ values in LPA. equityType: rsu|esop|none. resumeSignals: pipe-separated ("NQT top decile|coding test invite"). At least ONE source URL required; agreementCount derived from how many source columns are filled. lastVerified: YYYY-MM-DD ISO. Lines starting with # are comments and skipped by the importer.
phonepe,software-engineer,mid,,27.3,31.6,20.5,23.7,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/phonepe-salaries,,,,,AB scrape: Software Engineer (n=637); Software Developer (n=187); n=824,2026-05-08
phonepe,sre,mid,,17.0,19.8,12.8,14.9,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/phonepe-salaries,,,,,AB scrape: Site Reliability Engineer (n=130); n=130,2026-05-08
flipkart,data-engineer,mid,,6.2,6.8,4.7,5.1,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/flipkart-salaries,,,,,AB scrape: Data Analyst (n=1068); n=1068,2026-05-08
flipkart,software-engineer,mid,,3.1,24.6,2.3,18.5,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/flipkart-salaries,,,,,AB scrape: Software Developer (n=473); Software Engineer (n=438); System Engineer (n=338); n=1249,2026-05-08
flipkart,business-analyst,mid,,15.8,17.4,11.9,13.0,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/flipkart-salaries,,,,,AB scrape: Business Analyst (n=379); n=379,2026-05-08
swiggy,business-analyst,mid,,14.1,15.6,10.6,11.7,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/swiggy-salaries,,,,,AB scrape: Business Analyst (n=398); n=398,2026-05-08
swiggy,software-engineer,mid,,21.8,24.4,16.4,18.3,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/swiggy-salaries,,,,,AB scrape: Software Developer (n=223); n=223,2026-05-08
swiggy,data-engineer,mid,,5.5,6.4,4.1,4.8,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/swiggy-salaries,,,,,AB scrape: Data Analyst (n=180); n=180,2026-05-08
zomato,business-analyst,mid,,12.9,14.3,9.7,10.7,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/zomato-salaries,,,,,AB scrape: Business Analyst (n=512); n=512,2026-05-08
zomato,program-manager,senior,,19.3,21.4,14.5,16.0,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/zomato-salaries,,,,,AB scrape: Program Manager (n=297); n=297,2026-05-08
zomato,data-engineer,mid,,7.3,8.5,5.5,6.4,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/zomato-salaries,,,,,AB scrape: Data Analyst (n=164); n=164,2026-05-08
zomato,software-engineer,mid,,23.5,28.6,17.6,21.5,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/zomato-salaries,,,,,AB scrape: Software Engineer (n=132); n=132,2026-05-08
zomato,product-manager,mid,,29.2,35.1,21.9,26.3,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/zomato-salaries,,,,,AB scrape: Product Manager (n=92); n=92,2026-05-08
cred,software-engineer,mid,,22.9,36.0,17.2,27.0,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/cred-salaries,,,,,AB scrape: Software Engineer (n=100); Software Developer (n=53); n=153,2026-05-08
cred,product-manager,mid,,23.3,29.9,17.5,22.4,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/cred-salaries,,,,,AB scrape: Product Manager (n=64); n=64,2026-05-08
meesho,business-analyst,entry,,14.6,16.2,10.9,12.1,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/meesho-salaries,,,,,AB scrape: Business Analyst (n=256); n=256,2026-05-08
meesho,product-manager,entry,,19.5,21.9,14.6,16.4,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/meesho-salaries,,,,,AB scrape: Associate Product Manager (n=167); n=167,2026-05-08
meesho,data-scientist,entry,,34.6,39.1,26.0,29.3,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/meesho-salaries,,,,,AB scrape: Data Scientist (n=145); n=145,2026-05-08
meesho,product-manager,mid,,31.5,35.7,23.6,26.8,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/meesho-salaries,,,,,AB scrape: Product Manager (n=103); n=103,2026-05-08
meesho,program-manager,mid,,20.5,23.6,15.4,17.7,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/meesho-salaries,,,,,AB scrape: Program Manager (n=92); n=92,2026-05-08
meesho,software-engineer,entry,,21.7,27.5,16.3,20.6,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/meesho-salaries,,,,,AB scrape: Software Developer (n=76); n=76,2026-05-08
google,software-engineer,mid,,34.4,61.7,22.4,40.1,8.6,15.4,rsu,,,,,,,,https://www.ambitionbox.com/salaries/google-salaries,,,,,AB scrape: Software Engineer (n=4694); Software Developer (n=3228); n=7922; equity split estimated.,2026-05-08
google,software-engineer,senior,,43.8,48.4,28.5,31.5,10.9,12.1,rsu,,,,,,,,https://www.ambitionbox.com/salaries/google-salaries,,,,,AB scrape: Senior Software Engineer (n=1917); n=1917; equity split estimated.,2026-05-08
google,data-engineer,mid,,14.5,37.6,9.4,24.4,3.6,9.4,rsu,,,,,,,,https://www.ambitionbox.com/salaries/google-salaries,,,,,AB scrape: Data Analyst (n=560); Data Engineer (n=330); n=890; equity split estimated.,2026-05-08
google,data-scientist,mid,,26.7,29.5,17.4,19.2,6.7,7.4,rsu,,,,,,,,https://www.ambitionbox.com/salaries/google-salaries,,,,,AB scrape: Data Scientist (n=535); n=535; equity split estimated.,2026-05-08
google,product-manager,senior,,31.9,36.2,20.7,23.5,8.0,9.1,rsu,,,,,,,,https://www.ambitionbox.com/salaries/google-salaries,,,,,AB scrape: Product Manager (n=488); n=488; equity split estimated.,2026-05-08
google,qa-engineer,mid,,36.9,43.9,24.0,28.5,9.2,11.0,rsu,,,,,,,,https://www.ambitionbox.com/salaries/google-salaries,,,,,AB scrape: Softwaretest Engineer (n=325); n=325; equity split estimated.,2026-05-08
google,program-manager,senior,,39.7,44.2,25.8,28.7,9.9,11.1,rsu,,,,,,,,https://www.ambitionbox.com/salaries/google-salaries,,,,,AB scrape: Program Manager (n=303); n=303; equity split estimated.,2026-05-08
google,business-analyst,senior,,21.6,25.6,14.0,16.6,5.4,6.4,rsu,,,,,,,,https://www.ambitionbox.com/salaries/google-salaries,,,,,AB scrape: Business Analyst (n=277); n=277; equity split estimated.,2026-05-08
